productName,brand,price,currency,GTIN
Fiskbullar Räksås,ABBA,27.5,SEK,7311170041353
Salamisnack Vitlök,GØL,27.5,SEK,5707196210033
Mango Currysås,GARANT,19.95,SEK,7340083485589
A-Fil Plus Dofilus 3% Laktosfri,ARLA,25.95,SEK,7310865692917
Prinsesstårta Gul 6-8 Portioner,CITY GROSS,179,SEK,2000930800006
Äpplejuice,BRAVO,23.95,SEK,7310867561419
Norrland Öl 2,1%,NORRLANDS GULD,6.5,SEK,7310400010015
Blåbärsprinsesstårta 6-8 Portioner,CITY GROSS,199,SEK,2000930900003
Crunchy Jordnötssmör,SKIPPY,45.5,SEK,37600160490
Halloweentårta 6-8 Personer,CITYGROSS,199,SEK,2000931000009
Drickyoghurt Jordgubb,ACTIVIA,16.95,SEK,7350000550375
Pepsi Max Lemon Sockerfri,PEPSI,13.5,SEK,7310070006370
Jordgubbstårta,CITY GROSS,199,SEK,2000932800004
Hallontårta 6-8 Personer,CITY GROSS,199,SEK,2000932900001
Elegancenejlika,BLOMSTERBODA,69.95,SEK,7340003801345
Grekisk Yoghurt 10%,LARSA FOODS,35.95,SEK,7350056793023
Frukttårta 6-8 Personer,CITY GROSS,179,SEK,2000933000007
Kycklingköttbullar,GARANT,33.95,SEK,7340083453892
Blåbärstårta 6-8 Portioner,CITY GROSS,199,SEK,2000933100004
Drottningtårta 6-8 Personer,CITY GROSS,199,SEK,2000933200001
Babyspenat, Klass 1 EKO,GARANT EKO,17.95,SEK,7340083444333
Apelsinjuice,BRAVO,27.95,SEK,7310867561402
Prinsesstårta Grön,CITY GROSS,249,SEK,2000936000004
Jordgubbsyoghurt,DANONINO,9.95,SEK,7350000550214
Cider Hallon/Fläder,PREMIER,13.5,SEK,7340083476303
Pesto Rosso EKO,GARANT EKO,41.95,SEK,7340083445156
Havrevälling Mild 6 Mån,SEMPER,58.95,SEK,7310100683533
Mannafrutti Skogsbär,MANNAFRUTTI,11.95,SEK,7310090786627
Pulled Med Teriyakisås, Fryst,GREEN CUISINE,49.95,SEK,7310500180649
Creamy Jordnötssmör,SKIPPY,41.95,SEK,37600160421
Chiligryta, Fryst,GREEN CUISINE,43.95,SEK,7310500180700
Glass Peanut Butter Chocolate, Fryst,NICK´S,57.95,SEK,7350104401726
Tropisk juice,BRAVO,23.95,SEK,7310867561426
Woksås Hoisin,BLUE DRAGON,18.95,SEK,5010338018290
Middagsklart Dillsås,ABBA,25.95,SEK,7311171006757
Fiskbullar Hummersås,ABBA,26.5,SEK,7311170041049
Vikingkorv Smal,SP CHARK,54.95,SEK,7350018063065
Laxpanetter, Fryst,KALURI,19.95,SEK,4740590073140
Glass Vegansk Chokladglass,LEJONET & BJÖRNEN,66.95,SEK,7392890001100
Kalaswiener 8 St,SP CHARK,44.95,SEK,7350018063294
Taco Spice Mix,SANTA MARIA,10.95,SEK,7311310031015
Rågmust,FAZER,34.95,SEK,7314871960008
Gatukökswiener 7 St,SP CHARK,49.95,SEK,7350018063058
Ballonger Guld/Silver,HEDLUND,39.95,SEK,7332458922089
Stjärnmix,HARIBO,17.95,SEK,5701090068493
Middagsklart Räk/Dillsås,ABBA,25.95,SEK,7311171006733
Kvarngryn EKO,FREBACO KVARN,13.95,SEK,7312560034313
Skinka Rökt,PÄRSONS,64.95,SEK,7330797089012
Gevalia Espresso,TASSIMO,56.95,SEK,8711000502105
Fiber Syrup,NICK'S,82.95,SEK,7350104400088
Jordgubbstårta 8-10 Pers,CITY GROSS,249,SEK,2000937700002
KÄV LEVERKORV 225G KOKT,KÄVLINGE PASTE,24.95,SEK,7350039160149
Nutripuffs Banan/Hallon 8 Mån EKO,NESTLÉ,18.95,SEK,7613037087543
Ströbröd Glutenfri,FINAX,27.5,SEK,7311149105505
Snappy Strawberry Tape,HUBBA BUBBA,22.5,SEK,4009900381352
Solroskärnor Rostade/Saltade,RISENTA,16.95,SEK,7312631211322
Vannameiräka Utan Skal, Fryst,MIRAMAR,115,SEK,7350001292809
Sweet Potato Noodles Vermicelli,SPICEFIELD,27.95,SEK,7611612100533
Te Forest Fruit Pyramid,LIPTON,23.95,SEK,7310390855108
Blåbärstårta 8-10 pers,CITY GROSS,249,SEK,2000938700001
Mjukost Spicy Tuna,FJÄLLBRYNT,38.95,SEK,7313160005932
Nudlar Svamp,SAMYANG RAMEN,5.95,SEK,7350035210152
Snack Pot Napolitana,ELDORADO,12.5,SEK,7340083479830
Fusilli,MONTE CASTELLO,10.95,SEK,7611612150729
Müsli Naturell EKO,GARANT EKO,22.95,SEK,7340083439483
Top-To-Toe Wash,NATUSAN,31.95,SEK,3574661508092
Citroner I Nät, Klass 1 EKO,GARANT EKO,29.95,SEK,7311041049723
Shampoo Gold,NATUSAN,31.95,SEK,3574661516356
Lättdryck Fläderblom,KIVIKS MUSTERI,7.95,SEK,7314720723310
Müsli Frukt/Bär EKO,GARANT EKO,27.95,SEK,7340083439490
Twarog Ost Light,MLEKPOL,27.95,SEK,5900820012960
Babyolja Aloe Vera,NATUSAN,43.95,SEK,3574661516424
Mayo Vegan,GARANT,29.95,SEK,7340083479885
Fruktyoghurt Hallon/Rabarber 2,4%,SKÅNEMEJERIER,25.5,SEK,7310867531238
Påskmust,APOTEKARNES,11.95,SEK,7310070001146
Juice Äpple/Apelsin/Passionsfrukt,BRAVO,23.95,SEK,7310867561457
Senap Söt/Stark Original,EDVINS,41.95,SEK,73501039
Gelato Stracciatella, Fryst,GLENN STRÖMBERG,67.95,SEK,7312060920048
Röda Linser,ELDORADO,32.95,SEK,7340083481307
Drickyoghurt Hallon,ACTIVIA,16.95,SEK,7350000550382
Grönkål, Klass 1 EKO,None,34.95,SEK,7350018569147
Vita Bönor EKO,GARANT EKO,26.95,SEK,7340083481338
Beef-Stick Lamm 1-Pack,VITAKRAFT,8.95,SEK,4008239231093
LED Lampa E27 Black/Green,STAR TRADING,199,SEK,7391482059949
Tomater Mix, Klass 1,Elleholm,44.95,SEK,7350018560366
Middagsklart Vitvinssås,ABBA,25.95,SEK,7311171006740
Mungbönor,ELDORADO,33.95,SEK,7340083450549
Budapestlängd,CITY GROSS,129,SEK,2000940800003
Soltorkade Tomater,ZETA,39.95,SEK,7350027798620
